,p,r,f,acc
0,0.7843866171003717,0.6768737241178187,0.7266750156543519,0.9430548163916977
1,0.7887275242047026,0.6780618311533888,0.7292199488491049,0.9432758448808694
2,0.8039693593314763,0.6898715267403646,0.7425631130406818,0.9442787075896243
3,0.7898110661268556,0.6831047563466589,0.732592708496323,0.9430209200921073
4,0.7948453608247422,0.6679179901819232,0.725874784246038,0.9393984293969477
5,0.7928397636426834,0.6922610015174507,0.7391445236552172,0.9447699597493249
6,0.7962962962962963,0.691556576680069,0.7402397786658469,0.9437303767660911
7,0.7951219512195122,0.6894259818731118,0.7385113268608414,0.9454581613881569
8,0.7876225904633074,0.6835926034634576,0.7319296040226273,0.9406207827260459
9,0.7908232118758435,0.684979544126242,0.7341058565612277,0.9424688786390915
