,hmm-p,hmm-r,hmm-f,hmm-acc,memm-p,memm-r,memm-f,memm-acc,base-p,base-r,base-f,base-acc
0,0.7142857142857143,0.7777777777777778,0.8333333333333333,0.9473684210526316,0.8333333333333334,0.8888888888888888,0.9090909090909092,0.9736842105263158,0.6,0.6,0.6,0.9473684210526316
1,0.6363636363636364,0.75,0.7000000000000001,0.8787878787878788,0.8,0.3333333333333333,0.8421052631578948,0.9393939393939394,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8787878787878788
2,0.2222222222222222,0.8,0.3636363636363636,0.7307692307692307,0.6666666666666666,0.75,0.8,0.9615384615384616,0.75,0.75,0.8571428571428571,0.9090909090909092
3,0.25,0.6666666666666666,0.4,0.8636363636363636,0.6666666666666666,0.5,0.8,0.9473684210526316,0.8888888888888888,0.8,0.8888888888888891,0.9090909090909092
4,0.6666666666666666,0.5,0.8,0.9473684210526316,0.8,0.5,0.8888888888888891,0.9090909090909092,0.5,0.75,0.75,0.9642857142857144
5,0.5,0.6,0.6666666666666666,0.9473684210526316,0.8333333333333334,0.8333333333333334,0.9090909090909092,0.9090909090909092,0.9166666666666666,0.2,0.33333333333333337,0.7142857142857143
6,0.5,0.7692307692307693,0.6,0.7272727272727273,0.75,0.5,0.8571428571428571,0.8,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.42857142857142855
7,0.5714285714285714,0.25,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8,0.75,0.5,0.5,0.5,0.9444444444444444
8,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.8,0.8888888888888888,0.6666666666666666,0.8461538461538461,0.8799999999999999,0.9666666666666668
9,0.5,0.5,0.5,0.5,0.9,0.8181818181818182,0.9473684210526316,0.9666666666666668,0.5,0.6666666666666666,0.6666666666666666,0.9
10,0.6666666666666666,0.5,0.8,0.6,0.75,0.75,0.8571428571428571,0.9545454545454546,0.5,0.5,0.5,0.8888888888888888
11,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.8181818181818182,0.6666666666666666,0.7,0.6666666666666666,0.75,0.8571428571428571,0.9487179487179488
12,0.5,0.3333333333333333,0.5454545454545454,0.8888888888888888,0.5,0.5,0.6666666666666666,0.8888888888888888,0.6,0.5,0.5714285714285715,0.9629629629629628
13,0.3333333333333333,0.8,0.5,0.2,0.3333333333333333,0.5,0.3333333333333333,0.8888888888888888,0.5,0.5,0.5,0.9615384615384616
